COSMIC_ID,TCGA_DESC_x,GDSC_Tissue_descriptor_1,CELL_LINE_NAME
683667,MB,nervous_system,PFSK-1
687448,SKCM,skin,COLO-829
687452,BLCA,urogenital_system,5637
687455,BLCA,urogenital_system,RT4
687457,BLCA,urogenital_system,SW780
687459,BLCA,urogenital_system,TCCSUP
687505,CESC,urogenital_system,C-33-A
687506,CESC,urogenital_system,C-4-I
687561,GBM,nervous_system,42-MG-BA
687562,GBM,nervous_system,8-MG-BA
687563,GBM,nervous_system,A172
687568,GBM,nervous_system,GB-1
687586,GBM,nervous_system,T98G
687588,GBM,nervous_system,U-118-MG
687590,GBM,nervous_system,U-87-MG
687592,GBM,nervous_system,YKG-1
687777,LUAD,lung_NSCLC,Calu-3
687787,LUSC,lung_NSCLC,LK-2
687794,LUAD,lung_NSCLC,NCI-H1437
687798,LUAD,lung_NSCLC,NCI-H1623
687799,LUAD,lung_NSCLC,NCI-H1648
687800,LUAD,lung_NSCLC,NCI-H1650
687802,LUAD,lung_NSCLC,NCI-H1693
687807,LUAD,lung_NSCLC,NCI-H1838
687812,LUAD,lung_NSCLC,NCI-H2085
687815,LUSC,lung_NSCLC,NCI-H2170
687816,LUAD,lung_NSCLC,NCI-H2228
687819,LUAD,lung_NSCLC,NCI-H2342
687820,LUAD,lung_NSCLC,NCI-H2347
687821,LUAD,lung_NSCLC,NCI-H2405
687980,SCLC,lung_SCLC,COR-L311
687983,SCLC,lung_SCLC,DMS-114
687985,SCLC,lung_SCLC,DMS-273
687995,SCLC,lung_SCLC,NCI-H1048
687997,SCLC,lung_SCLC,NCI-H1092
688006,SCLC,lung_SCLC,NCI-H1694
688010,SCLC,lung_SCLC,NCI-H1963
688011,SCLC,lung_SCLC,NCI-H2029
688013,SCLC,lung_SCLC,NCI-H209
688015,SCLC,lung_SCLC,NCI-H2171
688018,SCLC,lung_SCLC,NCI-H2227
688023,SCLC,lung_SCLC,NCI-H446
688025,SCLC,lung_SCLC,NCI-H526
688027,SCLC,lung_SCLC,NCI-H69
688031,SCLC,lung_SCLC,NCI-H82
688058,MESO,lung,NCI-H2052
688086,NB,neuroblastoma,SK-N-DZ
688087,NB,neuroblastoma,SK-N-FI
713880,SCLC,lung_SCLC,SBC-5
713899,SCLC,lung_SCLC,LU-135
717431,NB,neuroblastoma,SK-N-SH
722045,LUAD,lung_NSCLC,NCI-H2030
722046,LUAD,lung_NSCLC,NCI-H2122
722058,LUAD,lung_NSCLC,NCI-H1734
722066,LUAD,lung_NSCLC,NCI-H650
724812,BLCA,urogenital_system,T24
724825,MM,myeloma,NCI-H929
724828,NB,neuroblastoma,SK-N-AS
724834,LUAD,lung_NSCLC,NCI-H2087
724838,BLCA,urogenital_system,UM-UC-3
724839,CESC,urogenital_system,SW756
724859,LUAD,lung_NSCLC,Calu-6
724866,LUAD,lung_NSCLC,NCI-H1355
724868,LUAD,lung_NSCLC,NCI-H1792
724869,PAAD,pancreas,HPAF-II
724870,PAAD,pancreas,MIA-PaCa-2
724872,SCLC,lung_SCLC,SHP-77
724873,LUAD,lung_NSCLC,NCI-H2009
724874,LUAD,lung_NSCLC,NCI-H2291
724878,LUAD,lung_NSCLC,SW1573
735784,ESCA,aero_dig_tract,TE-5
749709,BRCA,breast,HCC1954
749710,BRCA,breast,HCC1143
749711,BRCA,breast,HCC1187
749712,BRCA,breast,HCC1395
749713,BRCA,breast,HCC1599
749714,BRCA,breast,HCC1937
749715,BRCA,breast,HCC2157
749716,BRCA,breast,HCC2218
749717,BRCA,breast,HCC38
753535,HNSC,aero_dig_tract,BHY
753541,HNSC,aero_dig_tract,CAL-33
753551,SCLC,lung_SCLC,DMS-79
753554,LUSC,lung_NSCLC,EBC-1
753555,ESCA,aero_dig_tract,EC-GI-10
753556,LUSC,lung_NSCLC,EPLC-272H
753562,HNSC,aero_dig_tract,HSC-2
753566,BLCA,urogenital_system,J82
753569,LUSC,lung_NSCLC,KNS-62
753572,PAAD,pancreas,KP-4
753573,ESCA,aero_dig_tract,KYSE-140
753574,ESCA,aero_dig_tract,KYSE-410
753575,ESCA,aero_dig_tract,KYSE-520
753576,ESCA,aero_dig_tract,KYSE-70
753592,LUAD,lung_NSCLC,LXF-289
753600,LUAD,lung_NSCLC,NCI-H1563
753605,SCLC,lung_SCLC,NCI-H510A
753608,LUAD,lung_NSCLC,PC-14
753612,MM,myeloma,SK-MM-2
753614,ESCA,aero_dig_tract,TE-15
753615,MM,myeloma,U-266
753618,NB,neuroblastoma,KELLY
753620,NB,neuroblastoma,SIMA
753621,ESCA,aero_dig_tract,TE-1
753622,ESCA,aero_dig_tract,TE-10
753623,ESCA,aero_dig_tract,TE-8
753624,PAAD,pancreas,CAPAN-1
905933,OV,urogenital_system,OVCAR-3
905934,PRAD,urogenital_system,PC-3
905936,COREAD,large_intestine,HCT-116
905937,COREAD,large_intestine,HCT-15
905938,LAML,leukemia,HL-60
905939,COREAD,large_intestine,HT-29
905940,LCML,leukemia,K-562
905941,LUSC,lung_NSCLC,NCI-H226
905942,LUAD,lung_NSCLC,NCI-H23
905944,LUAD,lung_NSCLC,NCI-H522
905945,BRCA,breast,T47D
905946,BRCA,breast,MCF7
905947,KIRC,kidney,786-0
905948,KIRC,kidney,A498
905949,LUAD,lung_NSCLC,A549
905950,KIRC,kidney,ACHN
905951,BRCA,breast,BT-549
905954,SKCM,skin,SK-MEL-28
905955,SKCM,skin,SK-MEL-2
905956,SKCM,skin,SK-MEL-5
905957,BRCA,breast,Hs-578-T
905959,OV,urogenital_system,SK-OV-3
905960,BRCA,breast,MDA-MB-231
905962,COREAD,large_intestine,SW620
905963,KIRC,kidney,CAKI-1
905964,MM,myeloma,RPMI-8226
