,DRUG_ID,drug_name,synonyms,pathway_name,targets,pubchem_id,smiles_x,isosmiles_x,Unnamed: 0.1,cid,smiles_y,isosmiles_y,atom_f,atom_pad,valid_lens
0,1003,Camptothecin,"Camptothecine, (+)-Camptothecin",DNA replication,TOP1,24360,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,58,24360,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,"[[-0.00337252 -0.7377681   0.4672452  ... -0.046586    0.23354754
   0.16619647]
 [ 0.07734099 -0.6292976  -0.75833845 ... -0.17262135  0.7341973
   0.3311015 ]
 [ 0.20223714 -0.00869727  0.30162784 ... -0.36264643  0.53439385
  -0.33479404]
 ...
 [ 0.17953148 -0.6161098   0.3908511  ... -0.17017397  0.23747954
   0.35000852]
 [ 0.30606318 -0.37747186 -0.4035527  ... -0.4925706   0.14868811
   0.03404044]
 [ 0.03214853 -0.53396696 -0.15536888 ... -0.35861897  0.00338715
   0.1803808 ]]","[[-0.00337252 -0.7377681   0.4672452  ... -0.046586    0.23354754
   0.16619647]
 [ 0.07734099 -0.6292976  -0.75833845 ... -0.17262135  0.7341973
   0.3311015 ]
 [ 0.20223714 -0.00869727  0.30162784 ... -0.36264643  0.53439385
  -0.33479404]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",26
1,1004,Vinblastine,Velban,Mitosis,Microtubule destabiliser,6710780,CC[C@]1(O)CC2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,59,6710780,CC[C@]1(O)CC2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,"[[ 0.19989799 -0.38955453  0.31241918 ...  0.05655251  0.24668495
   0.6134023 ]
 [-0.25116083 -0.00637319 -0.9533033  ... -0.18438728  0.6057043
   0.39556158]
 [ 0.19364537  0.18941793  0.02468335 ... -0.08446562  0.13312219
   0.16138877]
 ...
 [-0.04160322 -0.06099075 -0.01706615 ... -0.12136031 -0.08350276
   0.71571004]
 [-0.58352447 -0.33027625 -0.8383621  ...  0.12987734  0.4153303
   0.44882995]
 [-0.48393103 -0.41006535 -0.9793095  ...  0.25162792  0.40502003
   0.58100885]]","[[ 0.19989799 -0.38955453  0.31241918 ...  0.05655251  0.24668495
   0.6134023 ]
 [-0.25116083 -0.00637319 -0.9533033  ... -0.18438728  0.6057043
   0.39556158]
 [ 0.19364537  0.18941793  0.02468335 ... -0.08446562  0.13312219
   0.16138877]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",59
2,1005,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",DNA replication,DNA crosslinker,84691,N.N.[Cl-].[Cl-].[Pt+2],N.N.[Cl-].[Cl-].[Pt+2],146,84691,N.N.[Cl-].[Cl-].[Pt+2],N.N.[Cl-].[Cl-].[Pt+2],"[[ 0.01356105  0.08857756 -0.14314646 ...  0.16349596 -0.03863255
   0.03418212]
 [ 0.10534337 -0.13332652  0.018514   ...  0.23827124 -0.18605596
  -0.0589383 ]
 [ 0.01190077  0.11648719  0.2181639  ...  0.24117295 -0.09242587
   0.392539  ]
 [ 0.07718047  0.15924604  0.19573463 ...  0.19980296 -0.01804993
   0.2969889 ]
 [ 0.07540644  0.02115918  0.24931897 ...  0.13036807 -0.03342904
   0.3141057 ]]","[[ 0.01356105  0.08857756 -0.14314646 ...  0.16349596 -0.03863255
   0.03418212]
 [ 0.10534337 -0.13332652  0.018514   ...  0.23827124 -0.18605596
  -0.0589383 ]
 [ 0.01190077  0.11648719  0.2181639  ...  0.24117295 -0.09242587
   0.392539  ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",5
3,1006,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",Other,Antimetabolite,6253,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,147,6253,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,"[[-4.9120891e-01 -4.6789679e-01 -6.6519612e-01 ...  8.0821507e-02
   4.7026271e-01  3.8745138e-01]
 [ 5.7739893e-04 -1.9580717e-01  1.1778671e-01 ...  5.7419050e-02
  -5.1168782e-01  3.3929297e-01]
 [-1.3118428e-01  1.3901979e-01 -4.7059372e-02 ... -1.1304845e-01
  -1.4366347e-01  6.7527574e-01]
 ...
 [ 1.9258468e-01 -2.8196445e-01 -5.7293758e-02 ...  5.0184464e-01
  -8.4281933e-01  5.3288275e-01]
 [-4.2557421e-01 -1.4863577e-01  3.7371537e-01 ... -1.6881891e-01
  -4.7228688e-01  3.1159344e-01]
 [-2.8641015e-01  1.0035764e-01 -3.7308922e-01 ... -1.9970104e-01
  -4.6745297e-01  2.5587034e-01]]","[[-4.9120891e-01 -4.6789679e-01 -6.6519612e-01 ...  8.0821507e-02
   4.7026271e-01  3.8745138e-01]
 [ 5.7739893e-04 -1.9580717e-01  1.1778671e-01 ...  5.7419050e-02
  -5.1168782e-01  3.3929297e-01]
 [-1.3118428e-01  1.3901979e-01 -4.7059372e-02 ... -1.1304845e-01
  -1.4366347e-01  6.7527574e-01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",17
4,1007,Docetaxel,"RP-56976, Taxotere",Mitosis,Microtubule stabiliser,148124,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,39,148124,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,"[[ 0.5933481  -0.12643291 -0.08939473 ... -0.01277074  0.02510878
   0.4736111 ]
 [ 0.25500068  0.06651834 -0.36561948 ...  0.05021937 -0.5793753
  -0.13752434]
 [-0.01283036  0.07263657 -0.12126728 ... -0.46997243 -0.47243538
   0.14467317]
 ...
 [ 0.47235662  0.09610295  0.04933983 ... -0.58132213 -0.45103022
  -0.16150476]
 [ 0.51484805 -0.39446887 -0.00626929 ... -0.1996418   0.14188063
   0.2352801 ]
 [ 0.5610333  -0.33002362 -0.0243348  ... -0.22358373  0.08315346
   0.17442796]]","[[ 0.5933481  -0.12643291 -0.08939473 ... -0.01277074  0.02510878
   0.4736111 ]
 [ 0.25500068  0.06651834 -0.36561948 ...  0.05021937 -0.5793753
  -0.13752434]
 [-0.01283036  0.07263657 -0.12126728 ... -0.46997243 -0.47243538
   0.14467317]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",58
5,1008,Methotrexate,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",DNA replication,Antimetabolite,126941,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,20,126941,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,"[[-0.00220513 -0.11669213  0.40001643 ...  0.3351904   0.21159291
   0.24773072]
 [ 0.27725792 -0.9276756   0.06410959 ... -0.3401192  -0.04623244
   0.69464564]
 [-0.41428003 -0.16051441 -1.6376067  ...  0.19805504  0.18553339
   0.83877724]
 ...
 [-0.05722347  0.49540848  0.40347305 ...  0.00707844 -0.07135406
   0.61113083]
 [ 0.28977185  0.06238616 -0.06778383 ... -0.37710738 -0.27906835
   0.04284102]
 [ 0.28810441  0.05060301  0.0669492  ... -0.31799725 -0.3153206
   0.02445836]]","[[-0.00220513 -0.11669213  0.40001643 ...  0.3351904   0.21159291
   0.24773072]
 [ 0.27725792 -0.9276756   0.06410959 ... -0.3401192  -0.04623244
   0.69464564]
 [-0.41428003 -0.16051441 -1.6376067  ...  0.19805504  0.18553339
   0.83877724]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",33
6,1009,Tretinoin,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",Other,Retinoic acid,444795,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,130,444795,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,"[[ 0.33846882 -0.14351599  0.29022217 ... -0.3195343   0.19478382
   0.4545497 ]
 [-0.23098904 -0.5205875   0.26152492 ... -0.07959691 -0.6056013
   0.07920574]
 [-0.00364207 -0.4178906   0.41684565 ... -0.08540884 -0.23092201
   0.08921059]
 ...
 [ 0.06700026 -0.29264757 -1.0992576  ... -1.0741047   0.38923904
   0.2682775 ]
 [ 0.21311957 -0.25607032 -0.77896553 ... -0.48382685  0.17229337
   0.01459903]
 [ 0.00394877 -0.20608298 -1.0643117  ... -0.84479916  0.33991078
   0.19667502]]","[[ 0.33846882 -0.14351599  0.29022217 ... -0.3195343   0.19478382
   0.4545497 ]
 [-0.23098904 -0.5205875   0.26152492 ... -0.07959691 -0.6056013
   0.07920574]
 [-0.00364207 -0.4178906   0.41684565 ... -0.08540884 -0.23092201
   0.08921059]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",22
7,1010,Gefitinib,"ZD-1839, Iressa",EGFR signaling,EGFR,123631,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,60,123631,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,"[[ 0.00673432 -0.37718466  0.19329992 ... -0.01592779 -0.24503884
   0.2503806 ]
 [ 0.20152621 -0.12933882 -0.59222144 ... -0.5014565  -0.31351477
   0.18073273]
 [-0.21779343 -0.24053505 -0.33523086 ...  0.10944494 -0.19216968
  -0.08727617]
 ...
 [ 0.39540738 -1.0836577  -0.73687303 ... -0.5941614  -0.40571812
  -0.10675934]
 [-0.2658949  -0.13035315 -1.5364035  ... -0.20528066 -0.17617886
  -0.09242817]
 [-0.0034275   0.00961132 -1.5719008  ... -0.10303397 -0.05879994
   0.25887606]]","[[ 0.00673432 -0.37718466  0.19329992 ... -0.01592779 -0.24503884
   0.2503806 ]
 [ 0.20152621 -0.12933882 -0.59222144 ... -0.5014565  -0.31351477
   0.18073273]
 [-0.21779343 -0.24053505 -0.33523086 ...  0.10944494 -0.19216968
  -0.08727617]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",31
8,1011,Navitoclax,"ABT-263, ABT263, ABT 263",Apoptosis regulation,"BCL2, BCL-XL, BCL-W",24978538,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,102,24978538,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,"[[ 2.9927340e-01 -2.5923774e-01  3.9145905e-01 ... -1.6613112e-01
   6.7551844e-03  6.1583972e-01]
 [ 1.6974975e-01 -1.6995049e-01  5.3062898e-01 ... -2.7674535e-01
  -9.4438875e-01 -2.3235862e-01]
 [ 2.7715936e-01 -3.0160147e-01  3.0010611e-01 ... -2.0061228e-01
   1.6434165e-02  5.0791085e-01]
 ...
 [ 3.7587620e-02  1.3326657e-03 -7.1868896e-01 ...  4.6113648e-02
  -3.1841812e-01  2.7790990e-01]
 [-5.4443464e-02  2.4356244e-03 -6.8858492e-01 ...  9.9535868e-02
  -2.2173285e-01  2.9931575e-01]
 [ 7.5703025e-02  1.3041830e-01 -1.3940717e+00 ... -8.0457836e-02
  -9.5823323e-03  3.6358252e-01]]","[[ 0.2992734  -0.25923774  0.39145905 ... -0.16613112  0.00675518
   0.6158397 ]
 [ 0.16974975 -0.16995049  0.530629   ... -0.27674535 -0.94438875
  -0.23235862]
 [ 0.27715936 -0.30160147  0.3001061  ... -0.20061228  0.01643416
   0.50791085]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",65
9,1012,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683",Chromatin histone acetylation,"HDAC inhibitor Class I, IIa, IIb, IV",5311,O=C(CCCCCCC(=O)Nc1ccccc1)NO,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,40,5311,O=C(CCCCCCC(=O)Nc1ccccc1)NO,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,"[[-5.62855005e-01  1.84708729e-01  2.22651318e-01 ... -8.63621831e-01
  -6.03566170e-02  2.97122568e-01]
 [-4.01965261e-01 -1.82901233e-01  5.45824431e-02 ... -2.72489935e-02
   6.90114796e-02  5.68348682e-03]
 [-2.52019435e-01 -2.72060018e-02 -1.41158080e+00 ... -3.45230252e-01
   4.76840317e-01 -4.23262157e-02]
 ...
 [ 5.76669164e-02  5.32698967e-02 -3.42004180e-01 ... -6.27541363e-01
   9.01930034e-02 -7.41512105e-02]
 [-1.54450819e-01  7.48323858e-01 -8.44859302e-01 ... -4.89900857e-01
  -5.69753163e-03 -7.07143247e-02]
 [-7.63364807e-02  1.21621236e-01 -3.87875736e-01 ... -6.04893148e-01
   2.63563124e-04  5.09669006e-01]]","[[-0.562855    0.18470873  0.22265132 ... -0.86362183 -0.06035662
   0.29712257]
 [-0.40196526 -0.18290123  0.05458244 ... -0.02724899  0.06901148
   0.00568349]
 [-0.25201944 -0.027206   -1.4115808  ... -0.34523025  0.47684032
  -0.04232622]
 ...
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.          0.         ...  0.          0.
   0.        ]]",19
